Unrealized Profit & Loss by Tax Lot
Unrealized Profit/(Loss)	Unrealized Profit/(Loss)
Cost Basis	Market Value Short-Term	Long-Term	Net	%
$4,966.12	$1,209.71	($3,756.41)	($3,756.41)	(75.64%)
$152.16	$24.19	($127.97)	($127.97)	(84.10%)
$480.91	$90.73	($390.18)	($390.18)	(81.13%)
$1,366.65	$290.33	($1,076.32)	($1,076.32)	(78.76%)
$1,729.06	$387.11	($1,341.95)	($1,341.95)	(77.61%)
$601.45	$145.16	($456.29)	($456.29)	(75.86%)
$346.45	$72.59	($273.86)	($273.86)	(79.05%)
$3,734.95	$2,647.35	($1,087.60)	($1,087.60)	(29.12%)
$7,755.36	$4,696.23	($3,059.13)	($3,059.13)	(39.45%)
$72.15	$43.89	($28.26)	($28.26)	(39.17%)
$97.68	$58.52	($39.16)	($39.16)	(40.09%)
$124.50	$73.15	($51.35)	($51.35)	(41.24%)
$2,126.70	$1,243.55	($883.15)	($883.15)	(41.53%)
$1,034.64	$790.02	($244.62)	($244.62)	(23.64%)
$1,101.00	$1,009.47	($91.53)	($91.53)	(8.31%)
$3,078.73	$3,818.43	$739.70	$739.70	24.03%
$6,888,67	$8,737.50	$1,848.83	$1,848.83	26.84%
$517.82	$637.50	$119,68	$119.68	23.11%
$508.49	$750.00	$241.51	$241.51	47.50%
$3,283.72	$7,996.12	$4,712.40	$4,712.40	143.51%
$162.30	$427.60	$265.30	$265.30	163.46%
$938.34	$1,667.64	$729.30	$729.30	77.72%
$4,951.45	$3,590.93	($1,360.52)	($1,360.52)	(27.48%)
$104.81	$83.51	($21.30)	($21.30)	(20.32%)
$1,327.87	$1,085.63	($242.24)	($242.24)	(18.24%)
$2,821.31	$2,588.81	($232.50)	($232.50)	(8.24%)
$4,397.93	$6,726.40	$2,328.47	$2,328.47	52.94%
$195.00	$378.36	$183.36	$183.36	94.03%
Page 2 of 5
