Unrealized Profit & Loss by Tax Lot
Unrealized Profit/(Loss)	Unrealized Profit/(Loss)
Cost Basis	Market Value	Short-Term	Long-Term	Net	%
$122.00	$83.80	-	($38.20)	($38.20)	(31.31%)
$3,372.06	$1,801.70	-	($1,570.36)	($1,570.36)	(46.57%)
$538.95	$314.25	-	($224.70)	($224.70)	(41.69%)
$3,327.17	$3,037.75	-	($289.42)	($289.42)	(8.70%)
$1,055.46	$1,236.05	-	$180.59	$180.59	17.11%
$503.10	$314.25	-	($188.85)	($188.85)	(37.54%)
$8,101.22	$7,961.00	($140.22)	-	($140.22)	(1.73%)
$2,040.00	$2,095.00	$55.00	-	$55.00	2.70%
$5,265.00	$6,285.00	$1,020.00	-	$1,020.00	19.37%
$14,085.90	$8,637.75	($5,448.15)	-	($5,448.15)	(38.68%)
$4,476.60	$3,839.00	($637.60)	-	($637.60)	(14.24%)
$7,313.25	$13,122.69	-	$5,809.44	$5,809.44	79.44%
$49.54	$89.27	-	$39.73	$39.73	80.20%
$95.32	$178.54	-	$83.22	$83.22	87.31%
$1,714.25	$2,231.75	-	$517.50	$517.50	30.19%
$1,256.80	$1,785.40	-	$528.60	$528.60	42.06%
$252.50	$446.35	-	$193.85	$193.85	76.77%
$111.46	$178.54	-	$67.08	$67.08	60.18%
$436.96	$714.16	-	$277.20	$277.20	63.44%
$16,480.89	$17,751.00	-	$1,270.11	$1,270.11	7.71%
$4,067.28	$4,260.24	$192.96	-	$192.96	4.74%
$10,432.44	$6,433.02	-	($3,999.42)	($3,999.42)	(38.34%)
$2,709.98	$2,800.98	-	$91.00	$91.00	3.36%
$798.24	$1,354.32	-	$556.08	$556.08	69.66%
$1,913.12	$1,631.34	-	($281.78)	($281.78)	(14.73%)
$2,321.40	$2,246.94	-	($74.46)	($74.46)	(3.21%)
$4,221.36	$4,001.40	($219.96)	-	($219.96)	(5.21%)
Page 4 of 7
