Reporting Individual's Name* " f Benjamin L: Cardin			PART IIIA. PUBLICLY TRADED ASSETS AND UNEARNED INCOME SOURCES'																															Page Numoer 5	
BLOCK A • . Identity of Publicly Traded Assets And Unearned Income Sources Report the complete name of each publicly traded asset held by you, your spouse, or your dependent child, (Seep.3, CONTENTS OF REPORTS Part B of Instructions) for production of income or investment which: (1)	had a value exceeding $1,000 at the close of the reporting period; and/or (2)	generated over $200 In "unearned" income during the reporting period, Include on this PART IIIA a complete identification of each public bond, mutual fund, publicly traded partnership interest, excepted investment funds, bank accounts, excepted and qualified blind trusts, and publicly traded assets of a retirement plan.				BLOCK B -Valuation of Assets At the close of reporting period. If None, or less than $1,001, Check the first column.												BLOCKC Type and Amount of Income If "None (or less than $201)" is Checked, no other entry is needed in Bloc includes income received or accrued to the benefit of the im																:kC for that item. This dividual.			
																Type of Income								Amount of Income											
				None (or less than $1.001)	$1,001 -$15,000	$15,001 -$50,000	o 8 8 w 1 5 o.	$100,001 -$250,000	$250,001 - $500,000	$500,001 -$1,000,000	Over $1,000,000*"	$1,000,001 -$5,000,000	$5,000,001 - $25,000,000	$25,000,001 - $50,000,000	Over $50,000,000	Dividends	"c &	Interest	Capital Gains	Excepted investment Fund	Excepted Trust	Qualified Blind Trust	Other (Specify Type)	None (or less than $201)	$201 -$1,000	$1,001 -$2,500	$2,501 - $5,000	$5,001 -$15,000	$15,001 -$50,000	$50,001 -$100,000	$100,001 -$1,000,000	t o o o o' o o y> a > O	$1,000,001 -$5,000,000	Over $5,000,000	Actual Amount Required if "Other* Specified
s, Example: DC, or J		IBM Corp. (stock)					X									X							Example		x										Example
		(S) Keystone Fund						X												X			Example	X											Example
1	Wells Fargo Advisors Bank Sweep CMA				X													X						X											
2	Columbia Dividend Income Fund A						X													X						X									
3	Calamos Growth and Income C							X												X					X										
4	National Grid Transco (Block) NGG, NYSE				X											X									X										
5	Met Life Co. (stock) MET, NYSE				X											X								X											
6	J Israel Bonds				X													X					OlD												439
7	Morgan Stanley Capital Opportunity Trust A					X																		X											
8	American Europacific Growth C					X														X					X										
9	J American Century Tax Free Bond Fund				X															X				X											
10	J American Century International Bond			X																X				X											
EXEMPTION TEST (see instructions before marking box): If you omitted any asset because It meets the three-part test for exemption described in the instructions, please check box to the right. I j This category applies only if the asset is/was held independently by the spouse or dependent child. If the asset is/was either held by the filer or Jointly held, use the other categories of value, as appropriate. j_j																																			
