Reporting IndWd^fcHtorife? «-?XJ
Benjamin L. Cardin
PART VIII. POSITIONS HELD OUTSIDE U.S. GOVERNMENT
Page Number 11
Report any positions held by you during the applicable reporting period whether compensated or not. Positions include, but are not limited to those of an officer, director, trustee, general partner, proprietor, representative, employee, or consultant of any corporation, firm, partnership, or other business enterprise or any non-profit organization or educational institution. Both the year and month must be reported for the period of time that the position was held.
Exclude: Positions with federal government, religious, social, fraternal, or political entities, and those solely of an honorary nature.
Name of Organization			Address (City, State)	Type of Organization	Position Held	From (Mo/Yr)	To (Mo/Yr)
Example:		National Assn. of Rock Collectors	NY,NY EXAMPLE	Non-profit education	President	6/90	Present
		Jones & Smith	Hometown, USA EXAMPLE	Law Firm	Partner	7/85	11 /OX
1	University of Maryland Law School		Baltimore, Maryland	Law School	Board of Visitors	1998	present
2	University of Maryland, Balto. Co.		Baltimore, Maryland	University	President's advisory board	1993	present
3	National Archives & Historical Publications & Records Commission		Washington, D.C.	Funds historical projects	Commission member	2/08	12/11
4	The Center for Democracy and the Interpretation of Civil Society		St. Mary's City, Maryland	Educational	Advisory board	9/01	present
5	Institute for Public Studies, Johns Hopkins University		Baltimore, Maryland	Graduate Program	Advisory board	2003	present
6	Lawrence M. Katz Irrevocable Trust		Baltimore, Maryland	Trust	Trustee	1999	present
7	Herbert Rosen Irrevocable Trust		Baltimore, Maryland	Trust	Trustee	2002	present
8	Naval Academy		Annapolis, Maryland	University	Board of Visitors	8/07	present
9	Venture BG Partnership		Baltimore, Maryland	Partnership developing land	limited partner (see Attachment 4)	1972	present
10	Congressional Coalition on Adoption Institute National Angels in Adoption		Washington, D.C.	Adoptions issues	Advisory board	6/09	present
11	Meyer M. Cardin Trust (benefit of Howard I. Cardin and family)		Baltimore, Maryland	Trust	Trustee	7/91	present
12	University of Maryland, School of Public Policy		College Park, Maryland	Graduate Program	Ex Officio* Board of Visitors	9/07	present
13	James Madison Memorial Fellowship Foundation		Washington, D.C.	Educational	Member, Board of Trustees	11/10	present
Compensation in excess of $200 from any position must be reported in Part II.
