
Reporting Individual's Name j Q Amendment Thad Cochran			PART VIII. POSITIONS HELD OUTSIDE U.S. GOVERNMENT					Page Number
Report any positions held by you during the applicable reporting period whether compensated or not. Positions include, but are not limited to those of an officer, director, trustee, general partner, proprietor, representative, employee, or consultant of any corporation, firm, partnership, or other business enterprise or any non-profit organization or educational institution. Both the year and month must be reported for the period of time that the position was held.								
Exclude: Positions with federal government, religious, social, fraternal, or political entities, and those solely of an honorary nature.								
Name of Organization				Address (City, State)	Type of Organization	Position Held	From (Mo/Yr)	To (Mo/Yr)
Example:		National Assn. of Rock Collectors		NY,NY EXAMPLE	Non-profit education	President	6/91	Present
		Jones & Smith		Hometown, USA EXAMPLE	Law Firm	Partner	7/96	11 /1X
1	Andrew Jackson Council of Boy Scouts of America			Jackson, MS	Non-Profit Service	Executive Board Member	1/1974	Present
2	Smithsonian Institution			Washington, DC	Federal Trust	Member, Board of Regents	1/1955	Present
3	National Museum of American History			Washington, DC	Federal Trust	Board Member	9/1998	Present
4	Profiles in Courage Awards Committee			Boston, MA	Non-Profit Group	Committee Member	3/2001	Present
5	Jo'nn F. Kennedy Center for the Performing Arts			Washington, DC	Federal Trust	Ex Officio Member of Board of Trustrees	1/2005	Present
6								
7								
8								
9								
10								
11								
12								
13								
Compensation in excess of $200 from any position must be reported in Part II.								
