PART IIIA. PUBLICLY TRADED ASSETS AND UNEARNED INCOME SOURCES																																		
Reporting Individual's Name "S*						Senator Orrin G. Hatch																				Page Number							4	
BLOCK A identity of Publicly Traded Assets and Unearned income Sources Report the complete name of each publicly traded asset held by you, your spouse, or your dependent child, (See p.3, CONTENTS OF REPORTS Part B at Instructions) for production of income or investment which: (1)	had a value exceeding $1,000 at the close of the reporting period; and/or (2)	generated over $200 in "unearned" income during the reporting period. Include on this PART IIIA a complete identification of each public bond, mutual fund, publicly traded partnership interest, excepted investment funds, bank accounts, excepted and qualified blind trusts, and publicly traded assets of a retirement clan.			BLOCK B Valuation of Assets At the close ot reporting period. If None, or less than $1,001, Check the first column.												BLOCK C Type and Amount of Income If "None (or less than $201)" is Checked, no other entry is needed in Block C for that item. This includes income received or accrued to the benefit of the individual.																			
															Type of Income								Amount of Income											
			f ft & £ u 0) b, a) 6 z	8 CJ. in § ft	o 8 o » 8 V} ft	8 ft i	I 5 CL 8 ft	| l	|	« m 8 CL ft 1	0 8 o" 8 iO 1 ft	I 1 u	t I 8	1 3	|	£ DC	1 to £	8 TB 8	1 1	1	I	Other (Specify Type)	1 i 1	§	a s i ft	0 8 m 1	8 CL tn 1	o 8 o & 8 ft	8 ft 1	| R 8 ft	ft 1	o 8. ? s CL § ft	8 CL ft 8	Actual Amount Required if "other" Specified
s. DC or J	Example	IBM Corp. (stock)				X									X							Example		X										Example
		Keystone Fund					X										X		X			Example	X											Example
8	Prime Fund Capital Reserves Money Market		X												X								X											
																																		
9	J Account, Investment Management Consultants, SLC, UT which held the following assets:		X																															
10	SEI Hussman Strategic Growth Fund		X															X					X											
11	SEI Tax Free Fund for Utah-Y		X												X		X	X						X										
12	SEI Permanent Portfolio		X															X					X											
13 ||SEI Gateway Fund - A			X												X								X											
