PART HIA. PUBLICLY TRADED ASSETS AND UNEARNED INCOME SOURCES																																		
Reporting Individual's Name						Senator Orrin G. Hatch || Page Number																											4	
BLOCK A Identity of Publicly Traded Assets and Unearned Income Sources Report the complete name of each publicly traded asset held by you, your spouse, or your dependant child, (See p.3. CONTENTS OF REPORTS Part B of Insttuctfons) for production of income or investment which: (1)	had a value exceeding $1,000 at the close of the reporting period; and/or (2)	generated over $200 in "unearned" income during the reporting period. Include on this PART IIIA a complete identification of each public bond, mutual fund, publicly traded partnership interest, excepted investment funds, bank accounts, excepted and qualified blind trusts, and publicly traded assets of a retirement Dlan.			BLOCK B Valuation of Assets At the close ot reporting period. If None, or less than $1,001, Check the first column.												BLOCK C Type and Amount of Income If "None (or less than $201)" is Chocked, no other entry is needed in Block C for that item. This includes income received or accrued to the benefit of the individual.																			
															Type of Income								Amount of Income											
			I I 8	& vo R § ft	» § ft	1 ft |	§ tf (A* 5 <=L 8 ft	| 5 Q.	| I	I ft 1	t s i § ft	§ 8" <=L M i § 8	§ § % 8 tri" ss	§ f 0 1	«			i S	s I 1 uu	•tt 1— jf	-w 2 £ (D ■D i	Other (Specify Type)	1 1 & u	0 1 M i	1 & ft	C3 8 in V* 8	§ § 8	§ e i ft		i M 5 Q. 8 ft	1 Q. 8 <=L ft 8	§ V» 1 ft	& 8 CL I	Actual Amount Required if "other-Specified
S. DC or J	Exa-mple	IBM Corp. (stock)				X									X							Example		X										Example
		Keystone Fund					X										X		X			Example	X											Example
14	SEI SIMT S&P 500 Index Fund A		x												X								X											
15	SIMT Real Return Fund Class A		X												X			X						X										
16	Lord Abbet Sht Dur lncome-l		X												X			X					X											
17	High Yield Bond Fund		X												X			X						X										
18	Forward Tactical Growth-lnv		X															X					X											
19	Short Duration Muni Fund		X														X	X					X											
20	Berwyn Income Fund		X												X			X					X											
21	Multi-Strategy Alt Fund |		X															X					X											
