—-irmn-g-n-^- i- i ..-- PART IIIA. PUBLICLY TRADED ASSETS AND UNEARNED INCOME SOURCES																																		
Reporting Individual's Name ^						Senator Orrin G. Hatch | Page Number																											4	
BLOCK A Identity of Publicly Traded Assets and Unearned Income Sources Report the complete name of each publicly traded asset held by you, your spouse, or your dependent child, (See p.3, CONTENTS OF REPORTS Part 8 of Instructions) for production of income or investment which: (1)	had a value exceeding $1,000 at the close of the reporting period; and/or (2)	generated over $200 in "unearned" income during the reporting period. Include on this PART IIIA a complete identification of each public bond, mutual fund, publicly traded partnership interest, excepted investment funds, bank accounts, excepted and qualified blind trusts, and publicly traded assets of a retirement Dlan.			BLOCK B Valuation of Assets At the close of reporting period. If None, or less than $1,001, Check the first column.												BLOCK C Type and Amount of Income If "None (or less than $201)' is Checked, no other entry is needed in Block C for that item. This includes income received or accrued to the benefit of the individual.																			
															Type of Income								Amount of Income											
			§ 1	a	□ 8 o" » 8 in ft	8 ft i	§ tf 5 cx 8 ft	| t	§ o" 8.	1 ft	I ft	8 0 a 8 5 C3. 1 IS	1 1	o~ 8 I 1			IS to %	1	s u_ l TL 8 UJ	1 i— s.	i 1 ID "O 4)	Other (Specify Type)	! &	o 8 5* 5 B	l i ft	CD 8 5 6	w w § »	I 1 ft	8 0 8" ft 1	| s; & 8 ft	a & Q_ ft 3	1 A t ft	I &	Actual Amount Required if "other" Specified
DC h- orjIbP'e		IBM Corp. (stock)				X								II X								Example		X										Example
		Keystone Fund |					X										X		X			Example	X											Example
22	Pimco Commodity RR II x Strategy D ||														X								X											
23	Oppenheimer Sr Float Rate-A		X												X								X											
24	Emerging Markets Debt Fund		X												X								X											
25	Templeton Global Bond Fund		X												X								X											
26	SEI Large Cap Growth Fund		X												X								X											
																																		
27	Fidelity Investments, which held the following lassets:				X																													
