PART niA. PUBLICLY TRADED ASSETS AND UNEARNED INCOME SOU																										ORCES								
Reporting Individual's Name [senator Orrin G. Hatch																										Page Number							4	
BLOCK A Identity of Publicly Traded Assets and Unearned Income Sources Report the complete name of each publicly traded asset held by you, your spouse, or your dependent child, (See p.3, CONTENTS OF REPORTS Part B Of Instructions) for production of income or investment which: (1)	had a value exceeding $1,000 at the close of the reporting period; and/or (2)	generated over $200 in "unearned" income during the reporting period. Include on this PART IIIA a complete identification of each public bond, mutual fund, publicly traded partnership interest, excepted investment funds, bank accounts, excepted and qualified blind trusts, and publicly traded assets of a retirement Dlan.			BLOCK B Valuation of Assets At the close of reporting period. If None, or less than $1,001, Check the first column.												BLOCK C Type and Amount of Income If "None (or less than $201)" is Checked, no other entry is needed in Block C for that item. This includes income received or accrued to the benefit of the individual.																			
															Type of Income								Amount of Income											
			I ft 6 £ V, § z	8 d. IS) § ft	I i ft	§ ft 5 o K	§ S 5 C3. 8 ft	1	1 » 5 Q.	« h H ft 1	I a ft	1 CJ » i »	o" & 8 o" 8 8	1	w		1 %		I £ E Vi I s	n 1	•w	Other (Specify Type)	1 £ 8 6 z	5> 5 6	§ § ft	o 8 & A a	§ in S K	§ ft	8 ft 8 £	1 A 8 ft	1 ft 1	o 8 o 8 in" 5 p. ft	a g » i	Actual Amount Required if "other Specified
5.		IBM Corp. (stock)				X									X							Example		X										Example
or J	mple	Keystone Fund					X										X		X			Example	X											Example
73	JP Morgan Strategic Income Opportunities Fund Class A		X												X			X					X											
74	FT Mutual Quest Fund		X															X						X										
75	Nuveen Tradewinds Global All-Cap Fund				X										X			X								X								
76	Putnam Voyager Fund		X															X					X											
77	Royce Premier Fund		X															X					X											
78	Eaton Vance Strategic Income Fund		X												X			X						X										
79	FT Templeton Global Bond				X										X			X								X								
80	JP Morgan Core Bond Fund		X											1				X						X										
