
PART IV. TRANSACTIONS																		
Reporting Individual's Name ^			Senator Orrin G. Hatch									Page Number ^					6	
					Transaction Type (x)			Amount of Transaction (x)										
Report any purchase, sale, or exchange by you, your spouse, or dependent child (See p.3 CONTENTS OF REPORTS Part B of Instructions) during the reporting period of any real property, stocks, bonds, commodity futures, and other securities when the amount of the transaction exceeded $1,000. Include transactions that resulted in a loss. Do not report a transaction involving property used solely as your personal residence, or a transaction between you, your spouse, or dependent child. Please clarify which two properties are involved in any reportable exchange.					Q) <n CO .c a £	a	(U	S o in § Si	§ s § in" Si	$50,001 - $100,000	o" tn a 5 o s 6»	§ cJ o 8 < o a fif £	§ § Si o o a" a 8	1 8 a o" a CD S I	o" 8 in (A 5 o 8" o s;	o 8 CD 8 tf (A s tf	$25,000,001 - $50,000,000	8 o 8 0 § 1
Identification of Assets				Transaction Date														
s	Ex-	IBM Corp. (stock) NYSE		2/1/OX	X				X			E	X	a	m	P	1	e
DC or J	ample	Microsoft (stock) NASDAQ/OTC		1/27/OX		X					X	E	X	a	m	P	1	e
30	Wells Fargo & Co			06/22/11		X		X										
31	SIT Emerging Markets Debt Portfolio			06/22/11		X		X										
32	SIMT High Yield Bond			06/22/11		X		X										
33	SIMT Real Estate Fund			06/22/11		X		X										
34	SEI Institutional S&P 500			06/22/11		X		X										
35	Pimco Commodity Real Return Strategy			06/22/11		X		X										
36	Templeton Global Bond			06/22/11		X		X										
37	SEI Small Cap Growth Fund			06/22/11		X		X										
38	SEI Large Cap Growth Fund			06/22/11		X		X										
39	SEI Emerging Markets Equity Fund			06/22/11		X		X										
