nnrnrgn r^
PART IV. TRANSACTIONS																		
Reporting Individual's Name &			Senator Orrin G. Hatch									Page Number					6	
				I	j Transaction Type (x)			Amount of Transaction (x)										
Report any purchase, sale, or exchange by you, your spouse, or dependent child (See p.3 CONTENTS OF REPORTS Part B of Instructions) during the reporting period of any real property, stocks, bonds, commodity futures, and other securities when the amount of the transaction exceeded $1,000. Include transactions that resulted in a loss. Do not report a transaction involving property used solely as your personal residence, or a transaction between you, your spouse, or dependent child. Please clarify which two properties are involved in any reportable exchange.					0) tn ro € £	oj	0) E £ o	1 £ E5	§ 8 in S»	1 5» • § 1'	1	CD E 8" U 5 a Sf a	§ U § I	I	CD 8 § tf 1	I" § § &	1 CD Sf (A 8 vf U	§ s' o s fc 6
Identification of Assets				Transaction Date														
s DC or J	Example	IBM Corp. (stock) NYSE		2/1/OX	X				X			E	*	a	m	p	I	e
		Microsoft (stock) NASDAQ/OTC		1/27/OX		X					X	E	X	a	m	p	1	e
50	Robeco BP Long/Short Equity Fund			10/20/11	X			X										
51	Double Line Total Return Fund			10/20/11	X					X								
52	FPA Crescent Fund			10/20/11		X		X										
53	Fairholme Fund			10/20/11	X			X										
54	Permanent Portfolio Fund			10/20/11	X			X										
55	Yacktman Fund Inc			10/20/11		X			X									
56	Kayne Anderson MLP Investment Co			10/21/11		X			X									
57	Berkshire Hathaway Inc			10/24/11	X			X										
58	Nuveen Tradewinds Global			10/24/11	X				X									
59	IVA Worldwide Fund			10/24/11		X			X									
