PART IV. TRANSACTIONS																	
Reporting Individual's Name ^ Sena:or 0llin G'Hatch											Page Number ®					6	
Report any purchase, sale, or exchange by you, your spouse, or dependent child (See p.3 CONTENTS OF REPORTS Part B of Instructions) during the reporting period of any real property, stocks, bonds, commodity futures, and other securities when the amount of the transaction exceeded $1,000. Include transactions that resulted in a loss. Do not report a transaction involving property used solely as your personal residence, or a transaction between you, your spouse, or dependent child. Please clarify which two properties are involved in any reportable exchange.				Transaction Type (x)			Amount of Transaction (x)										
				(L>	(U ro tn	& % ffi	o § m" ■ §	8 a 8 t» T-8 in	o" a s» 8 o" £	i Si	§ §	8 Q 8" o si 5 a CD CD £	i 8 i CD & 1	§ i s" §	o" 8 in CM M l »	§ 8" o 8~ t» 8 § S	§ § I
Identification of Assets			Transaction Date														
s DC or J	Example	IBM Corp. (stock) NYSE	2/1/OX	X				X			E	X	a	m	P	/	e
		Microsoft (stock) NASDAQ/OTC	1/27/OX		X					X	E	X	a	m	P	/	e
60	IVY Global Natural Resources Fund		10/24/11	X				X									
61	Pimco Total Return Fund		10/24/11	X					X								
62	First Eagle Global Fund		10/24/11	X			X										
63	Van Eck Global Hard Asset Fund		10/24/11	X				X									
64	Loomis Sayles Investment Grade Bond		10/24/11		X		X										
65	Putnam Voyager Fund Inc		10/24/11	X			X										
66	Franklin/Templeton Global Bond Fund		10/24/11	X			X										
67	Miller Convertible Fund		12/13/11		X			X									
68	Fairholme Fund		12/14/11		X			X									
69	Putnam Voyager Fund		12/15/11		X			X									
