PART IV. TRANSACTIONS																		
Reporting Individual's Name ^			Senator Orrin G. Hatch									Page Number					6	
					Transaction Type (x)			Amount of Transaction (x)										
Report any purchase, sale, or exchange by you, your spouse, or dependent child (See p.3 CONTENTS OF REPORTS Part B of Instructions) during the reporting period of any real property, stocks, bonds, commodity futures, and other securities when the amount of the transaction exceeded $1,000. Include transactions that resulted in a loss. Do not report a transaction involving property used solely as your personal residence, or a transaction between you, your spouse, or dependent child. Please clarify which two properties are involved in any reportable exchange.					(D £	a; (O C/D	aj E	8 s-■ §	§ 6f (A S irf 55	§ 8" § o" £	a 8 cd in ? § 8 s»	I s 8 a	§ I §	i o 8 o § w o> 6	§ S in" § § K	cd 8_ lO" CN (A 5 o §' 8	§ 8 s	8 cd 8" cd B «» a> a
Identification of Assets				Transaction Date														
S DC or J	Ex-	IBM Corp. (stock) NYSE		2/1/OX	X				X			E	X	a	m	p	/	e
	ample	Microsoft (stock) NASDAQ/OTC		1/27/OX		X					X	E	X	a	m	p	/	e
70	Nuveen Tradewinds Global			12/16/11	X			X										
71	Robeco BP Long/Short Equity Fund			12/16/11	X			X										
72	Robeco BP Long/Short Equity Fund			12/16/11	X			X										
73	Franklin Templeton Global Bond Fund			12/19/11	X			X										
74	Market Vectors Gold Miners			12/19/11	X					X								
75	SPDR S&P 500			12/19/11	X					X								
76	Third Avenue Focused Credit Investor			12/21/11	X			X										
77	Loomis Sayles Investment Grade Bons			12/31/11	X			X										
																		
