ft^nftfic^ ? fa ?
-r			PART IV. TRANSACTIONS															
Reporting Individual's Name B®*			Senator Orrin G. Hatch									Page Number "EF					6	
					Transaction Type (x)			Amount of Transaction (x)										
Report any purchase, sale, or exchange by you, your spouse, or dependent child (See p.3 CONTENTS OF REPORTS Part B of Instructions) during the reporting period of any real property, stocks, bonds, commodity futures, and other securities when the amount of the transaction exceeded $1,000. Include transactions that resulted in a loss. Do not report a transaction involving property used solely as your personal residence, or a transaction between you, your spouse, or dependent child. Please clarify which two properties are involved in any reportable exchange.					O) in TO C. H CL	M %	(D cn £Z £ t_>	X— ■ §	$15,001-$90,000	$50,001-$100,000	§ § 5»	$250,001 -$500,000	s o_ Si § o CD	1 cd O o_ fc	1 cd" s & 1 i 6»~	cd 1 £ i S £ tf	8 cd 8" o 8 (A 8 CD 8 in" u	1 8" ® 6
Identification of Assets				Transaction Date														
S DC or J	Ex-	IBM Corp. (stock) NYSE		2/1/OX	X				X			E	*	a	m	p	1	e
	ample	Microsoft (stock) NASDAQ/OTC		1/27/OX		X					X	E	X	a	m	p	1	e
117	Fairholme Fund			10/20/11		X		X										
118	FPA Crescent Fund			10/20/11	X				X									
119	Permanent Portfolio Fund Inc			10/20/11		X		X										
120	Yacktman Fund Inc			10/20/11		X			X									
121	Egshares Emerging Markets Consumer			10/21/11		X		X										
122	Ishares Trust S&P Global Infrastructure Index Fund			10/21/11		X		X										
123	Berkshire Hathaway Inc			10/24/11	X				X									
124	IVA Worldwide Fund			10/24/11		X		X										
125	Neuberger Berman Equity Income Fund			10/24/11		X			X									
126	Ivy Asset Strategy Fund			10/24/11	X			X										
