
Reporting Individual's Name | Q Amendment			PART VIII. POSITIONS HELD OUTSIDE U.S. GOVERNMENT					Page Number 23
Report any positions held by you during the applicable reporting period whether compensated or not Positions include, but are not limited to those of an officer, director, trustee, general partner, proprietor, representative, employee, or consultant of any corporation, firm, partnership, or other business enterprise or any non-profit organization or educational institution. Both the year and month must be reported for the period of time that the position was held. Exclude: Positions with federal government, religious, social, fraternal, or political entities, and those solely of an honorary nature.								
Name of Organization				Address (City, State)	Type of Organization	Position Held	From (Mo/Yr)	To (Mo/Yr)
Example:		National Assn. of Rock Collectors		NY,NY EXAMPLE	Non-profit education	President	6/91	Present
		Jones & Smith		Hometown, USA EXAMPLE	Law Firm	Partner	7/96	11/1X
1	First Western Bank & Trust			Minot, ND	Bank	Director	10/84	Present
2	Northwest Respiratory Services LLC			St Paul, Mn	Respiratory Services, LLC	Member	6/99	Present
3	Tompson-Hoeven Partnership			Bismarck, ND	Farm Real Estate Partnership	Partner	3/79	Present
4								
5								
6								
7								
8								
9								
10								
11								
12								
13								
Compensation in excess of $200 from any position must be reported in Part II.								
