
MorganStanley
,t SmithBarney
Individual Retirement Account
December 1 - December 31 ^201V
P>S«6 ofH
JONLKYL
Account numbet
Common stocks & options continued										
Quantity	Description	Symbol	Date Acquired	Cost	Share cost	Current price	Current value	Unrealized gain/floss)		Average % Anticipated Ino yield (annualized)
7	BLACKROCK INC	BLK	11/10/10	4 1,164.70	4 186385	417824	$ 1,247.68	4 82.98	LT	
13				1,602.52	146.348		2,317.12	414.60		3X)86 71.60
35	BROADCOM CORP CL A	BRCM	07/13/06	970.77	27.738	2938	1,027.60	5633	LT	
10			11/07/07	331.50	33.16	2938	293.60	(3730)	LT	
'■'■-■'''is- '■	•		0f/09|/69	604.75	24.19	29.36	734.00	12925	LT	
i			05/17/11	234.20	33X56	29.38	206.52	(2838)	ST	
9			06/06/11	304.51	33334	29.36	28424	f4027)	ST	
9			10/04/11	290.93	32326	29.36	26424	(2839) ST		
95				2,738.06	28307		2,78920	52.64		1226 3420
3	CME GROUP INC	CME	03/01/11	919.28	306.426	243.87	73131	(188.27)	ST	
2	CLASSA		03/10/11	595X8	297.738	243.87	46734	(108.14)	ST	
E				1.614.76	302362		1,21636	1286.411		2298 2630
5	CVS CAREMARK CORP	CVS	10/22/06	143.14	28327	40.78	20330	80.76	LT	
3			10/23/06	67.21	29.068	40.78	12234	35.13	LT	
10			11/06/06	299.66	29365	40.78	40730	108.14	LT	
15			01/09/09	39? flQ	192	40.78	611.70	218.81	LT	
5			05/28/09	146.74	29347	4a 78	20330	57.16	LT	
8			11/1SV09	247.54	30342	40.78	32624	7B.70	LT	
12			11/20/09	37729	31X41	40.78	48938	112.07	LT	
13			11/18/10	4oaos	30.773	4a78	530.14	13039	LT	
71				2,094.52	29.60		2JB96.38	80036		1.693 46.16
19	CABLEVISION SYSTEMS CORP	CVC	09/17/04	11927	6277	1422	27MB	15031	LT	
30	CABLEVISION NY GROUP CL A		06/29/04	18236	6.069	1422	42830	24432	LT	
25			01/09/06	34936	13394	1422	35530	5.64	LT	
74				65121	8.80		136228	401X17		4.219 44X0
14	CAMERON INTERNATIONAL CORP	CAM	06/24/11	643.71	46379	49.19	688.66	44.95	ST	
5			07/14/11	24334	49367	49.19	24635	(2.39) ST		
7			06/06/11	3343S	47336	49119	344*33	9.48	ST	
9			11/08/11	471.11	52345	49.19	442.71	(28X0) ST		
35				1,688.01	48.616		1,721.66	23.84		
4	CELGENE CORP	CELG	12/02/06	198.03	49.507	8730	27D.40	7237	LT	
6			12/03/06	307.19	51.197	6730	40630	98.41	LT	
10			01/30/09	53233	53233	6730	676.00	14337	LT	
10			06/28/06	418.14	41314	6730	676.00	25938	LT	
