"z ja "i *n
v tj'y y v. v ^ W & y
MorganStanley
,t SmithBarney
Individual Retirement Account
December 1 - December 31 ^201V
Page8aT14
JON L KYL
Account number
Common stocks ft options continued									
Quantity	Description	Symbol	Date acquired	Cost	Share cost	Current price	Curort value	Unrealized gafn/(loss)	Average % Anttdpated Ina yield (annualized)
16	CELGENE CORP	CELG	07/25/11	♦ 975.19	4 60.948	• 6730	11,06130	• 10642 ST	
44				2,426.87	62.802		3,108.60	680.73	
66	CISCO SYS INC	CSCO	09/17/04	1,253*66	19286	18.08	1,17520	(78.45) LT	
40			08/15/06	710-28	17.757	1B.08	723.20	12.92 LT	
15			04/06/66	361.25	24J383	18.08	271.20	190.05} LT	
51			07/25/11	829.16	16258	16.08	922.06	9232 ST	
171				3,16434	18.446		3,091.68	182.66}	1.327 41.04
7	CITRIX SYSTEMS INC	CTXS	10/22/10	423*1	60458	60.72	425XM	133 LT	
10			11/04/10	663.71	66.37	60.72	607.20	(46.51) LT	
17				1j076L82	83.348		1,032.24	(44.68)	
25	COCA-COLA CO	KO	09/13/04	1J07234	42318	69.97	1,74926	678.31 LT	
10			06/17X36	641.70	54,169	69.97	699.70	168.00 LT	
35				1,614,64	46.133		%44&86	834.31	2.686 66.80
90	COMCAST CORP CL A - SPL	CMCSK	09/22/04	1,656.60	18406	23.56	2,12040	463.80 LT	
45			05/11/06	94043	20338	23.66	1,06020	119.77 LT	
105			01/09/06	1,781 £9	16.778	23.56	2,47330	712.11 LT	
35			07/14/11	640.00	23399	23.56	824.60	(1540) ST	
275				6,196.72	18.904		6,479.00	1,280.28	1.91 123.75
B	CREE INC	CREE	06/26/03	139.44	1743	22.04	17632	36.88 LT	
10			06/06/03	126.46	12 £47	22.04	220.40	93.92 LT	
10			09/28/04	28733	28.793	22.04	220.40	(6733) LT	
10			03/23/05	21128	21.826	22.04	22040	2.14 LT	
18			07/25/11	694.80	33.044	22.04	396,72	(198.08) ST	
66				1,388.91	24409		1,234.24	(132.87)	
5	CUMMINS INC	CMI	09/09/11	439.19	87338	88.02	44010	.91 ST	
4			10/04/11	32734	81384	88.02	352J06	24.14 ST	
9				787.13	85.237		792.18	26.06	1.817 1440
6	DEERE & CO	OE	06/10/11	48844	81406	77.3S	464.10	(24^34) ST	
5			07/25/11	41078	82.152	77.35	388.75	124J01} ST	
11				89920	811746		8S0J8	448.35)	2.12 18.04
36	WALT DISNEY CO	DIS	09/26/05	80449	22385	3730	1,312.50	508.01 LT	
20			01/09/06	699.00	2935	37.50	750UQ0	151JDO LT	
65				1/403.49	26.618		2,062.60	669.01	1.60 33.00
26	DIRECTV CL A	DTV	03/31/OB	488.80	19.475	42.76	1,068.00	682.20 LT	
