zafTuni-smz o ir £ i IT
MorganStanley
,t SmithBarney
Individual Retirement Account
December 1 - December 31 ^201V
Pege 11 Of 14
JONLKYL
Account number
Common slocks & options continued
Quantify	Description	Symbol	Data acquired	Cost	Share cost	Current price	CuiTent value	Unrealized gain/floss)		Average % yield	Anticipated Ina (enmietized)
t	QUALC0MM INC	QCOM	08/09/11	• 60.13	#801132	♦ 54.70	• 54.70	• 437	ST		
26				1,286.65	61.474		1,367.60	80.65		1.672	2130
27	SANOISK CORP	SNDK	01A39/0B	777.80	2830	4921	1328.67	551.07	LT		
ts			03/14/D6	330.97	22364	49.21	738.15	407.18	LT		
.....				1,108.87	28.395		2.066JJ2	858.25			
g	SOI LUMBER SER LTD	SLB	06/10/10	523.18	58.13	6831	614.79	9131	LT		
10			07/25/11	951.10	95.11	6831	683.10	<268.09}	ST		
1»				1,474.28	77394		1,29738	(178.381		1X63	1930
2	SCHWAB CHARLES CORP	SCHW	01/29/08	27.96	13379	11.26	2232	(6.44) LT			
35			01/30/09	478.53	13372	11.28	394.10	(84.43)	LT		
40			02/19/09	51999	12399	11.29	450.40	(6839)	LT		
10			03/24/10	183.54	18354	11.26	11230	(70.941	LT		
21			11/10/10	321X3	16306	1138	23046	(84,97)	LT		
108				1,631X6	14.18		1,216.08	(315.37)		2.131	2532
78	TEXAS INSTRUMENTS INC	TXN	09/14/04	1,1899.66		29.11	2^1236	10 1	LT	2,335	61.88
7	THERMO FISHER SCIENTIFIC INC	TM0	06/11/10	38085	51349	44.97	314,79	(48.061 LT			
22			07/2S/11	1,413-79	6&2S3	44.97	98934	(424X6) ST			
29				1.774.84	81.184		1304.13	(470.51)			
12	UNITED PARCEL SERVICE CL B	UPS	03/18/11	852.01	71301	73.19	87828	26.27	ST		
8			0Q/3Q/11	44822	74.702	73.19	439.14	(9.06) ST			
7			05/17/11	613.43	73347	73.19	512.33	(1.10) ST			
2E				1^13.66	72.548		132975	18.09		2.841	52.00
22	UNITEDHEALTH GROUP INC	UNH	09/13/04	7S9J51	34J522	50.88	1,114.96	365X5	LT		
30			03/13/06	1,155.40	38.513	50.68	1,520.40	365JOO	LT		
20			05/01/08	659.19	3239	sa68	1,01330	354A1	LT		
72				2,574,10	36.751		3,848.88	1,07438		1.282	48.80
2	VERTEX PHARMACEUTICALS INC	VRTX	KV31/08	51.11	25,566	3121	66.42	1531	LT		
2			11/03/08	5432	27.158	33L21	66.42	12.10	LT		
1			11/04/06	2730	26.998	3121	33.21	6.21	LT		
1			11/05/08	27.42	27.42	3321	33.21	5.79	LT		
9			11/08/08	242.75	26372	33.21	29839	66.14	LT		
1			11/11/08	2636	26362	3121	33.21	636	LT		
4			11/12/08	10632	26.729	3121	132.84	2632	LT		
1			11/13/08	2633	28.628	33.21	33.21	638	LT		
