seases©!421

MorganStanley
2011 Realized Gain/Loss - Detail

Jon L Kyi
CGM IRA Rollover Custodian
Glearbridge All: Caps
Asbf05/02/26lT*^
O V	A

Description	SymboJ/CUSIP		Quantity	Purchase	Cost Basis	Sold	Net Proceeds	Gain/Loss
								
	Total		30.000	■j^J-tif^a.^.	$846.65		$1,096.19	$249.54
^HIHHstk 'jf ^liCT^s^cMMKl^^^Ei^ST^E BPgClffif I vr- ^wJSCaiHflB^^SCiB!			i3.00(r	^wmy/m	$155.9^^/10/11		$565.50	$409.92
	DTV		5.489	09/20/04	65.70	07/25/11	284.01	218.31
	DTV		21.511	07/29/05	305.58	07/25/11	1,112.98	807.40
	DTV		5.000	03/31/08	97.36	07/25/11	258.70	161.34
	Total		45.000		$624.22		$2,221.19	$1,596.97
EXPED1A INC	EXPE		32.000	10/13/04	587.90	02/11/11	684.25	96.35
	EXPE		13.000	10/13/04	238.83	02/24/11	262.05	23.22
	EXPE		6.000	06/13/06	91.69	02/24/11	120.94	29.25
	EXPE		34.000	06/13/06	519.55	02/25/11	681.52	161.97
	Total		85.000		$1,437.97		$1,748.76	$310.79
FREEPORT MCMORAN COPPER & GO FCX			23.000	04/01/09	451.35	07/25/11	1,278.34	826.99
FIRST SOLAR rNC	FSLR		3.000	12/02/08	341.98	04/29/11	423.93	81.95
	FSLR		2.000	12/03/08	247.49	04/29/11	282.62	35.13
	FSLR		2.000	02/25/09	219.55	04/29/11	282.63	63.08
	Total		7.000		$809.02		$989.18	$180.16
GENERAL ELECTRIC CO	GE		15.000	03/19/03	393.90	10/04/11	214.17	(179.73)
	GE		28.000	09/16/04	942.76	10/04/11	399.78	(542,98)
	Total		43.000		$1,336.66		$613.95	($722.71)
GENZVME CORP	GENZ		15.000	05/13/08	1,019.21	02/17/11	1.129.67	110.46
	GENZ		30.000	09/23/04	1,677.90	02/17/11	2,259.35	581.45
	Total		45.000		$2,697.11		$3,389.02	$691.91
JOHNSON & JOHNSON	JNJ		5.000	05/29/03	268.70	03/17/11	290.77	22.07
Page 3 of 6								
