PART VII. LIABILITIES																		
Reporting Individual's Name Mary L Landrieu												Page Number ®						
Report liabilities over $10,000 owed by you, your spouse, or dependent child (See p.3 CONTENTS OF REPORTS Part B of Instructions), to any one creditor at any time during the reporting period. Check the highest amount owed during the reporting period. Exclude: (1) Mortgages on your personal residences unless rented; (2) loans secured by automobiles, household furniture or appliances; and (3) liabilities owed to certain relatives listed in Instructions. See Instructions for reporting revolving charge accounts.					Date Incurred	Interest Rate	Term if Applicable	Category of Amount of Value (x)										
								' $10,001-$15,000	$15,001 -$50,000	$50,001 -$100,000	$100,001 -$250,000	$250,001 - $500,000	$500,001 -$1,000,000	Over $1,000,000 ***	$1,000,001 -$5,000,000	$5,000,001 - $25,000,000	$25,000,001 - $50,000,000	Over $50,000,000
Name of Creditor			Address	Type of Liability														
S DC or J	Example	First District Bank	Wash., DC	Mortgage on undeveloped land	1991	13%	25yrs			X		E	X	a	m	P	/	e
		John Jones	Wash., DC	Promissory Note	1999	10%	on dmd				X	E	X	a	m	P	/	e
1	Crescent Bank and Trust		New Orleans, LA	Mortgage on undeveloped land (renewed 2010)	2010	6.00%	1yr				x							
2	The National Capital Bank		Washington, DC	Mortgage on Residence (spouse) (refinanced)	2010	4.25%	30 yrs					x						
3	The National Capital Bank		Washington, DC	Line of Credit with second mortgage on residence(spouse)	2003	2.75%	N/A				x							
4	Neuberger Berman		New York, NY	Margin Account	2006	prime	N/A		x									
5																		
																		
																		
																		
EXEMPTION TEST (see instructions before marking box): If you omitted any liability because it meets the three-part test for exemption described in the Instructions, please check here. ^ ***This category applies only if the obligation was solely that of the spouse or dependent child. If the obligation was the filer's or a joint obligation with the spouse or dependent child, use the other categories, as appropriate.																		
