
Reporting Individual's Name McCain, John S. Ill				PART IIIB. NON-PUBLICLY TRADED ASSETS AND UNEARNED INCOME SOURCES																																Page Number 7	
BLOCKA Identity of Non-Pubticly Traded Assets and Unearned Income Sources Report the name, address (city, state and description) of each interest held by you, your spouse, or your dependent child (See p.3, CONTENTS OF REPORTS Part B of Instructions) for the production of income or investment in a non-public trade or business which: (1)	had a value exceeding $1,000 at the close of the reporting period; and/or (2)	generated over $200 in "unearned" income during the reporting period. Include the above report for each underlying asset, which is not incidental to the trade or business. Publicly traded assets held by non-public entity may be listed on Part IIIA.					BLOCK B Valuation of Assets At the dose of reporting period. If None, or less than $1.001, Check the first column.												BLOCK C Type and Amount of Income																				
																	Type of Income									Amount of Income											
					None (or less than $1,001)	$1,001 -$15,000	$15,001 -$50,000	$50,001 - $100,000	$100,001 -$250,000	$250,001 -$500,000	$500,001 -$1,000,000	Over $1,000,000***	$1,000,001 -$5,000,000	$5,000,001 - $25,000,000	$25,000,001 -$50,000,000	Over $50,000,000	None	Dividends	Rent	Interest	Capital Gains	Excepted Investment Fund	Excepted Trust	Qualified Blind Trust	Other (Specify Type)	None (orlessthan $201)	$201 -$1,000	$1,001 -$2,500	$2,501 -$5,000	$5,001 -$15,000	$15,001 -$50,000	$50,001 -$100,000	$100,001 -$1,000,000	Over $1,000,000*"*	$1,000,001 -$5,000,000	Over $5,000,000	Actual Amount Required if "Other" Specified
s, Example: DC, or J			JP Computer, Software Design, Wash DC					x										X							Example		X										Example
			Undeveloped land, Dubuque, Iowa						X								X								Example	X											Example
1	S	Sedona Vacant Land, Comville, AZ						X									X									X										•	
2	S	Sedona Property, Comville. AZ (Two Parcels. Parcel 1: Residence and Guest House, Parcel 2: Guest House)										X					X									X											
3	s	Sedona Hidden Valley, LP, Peoria, AZ (Land in Sedona, AZ Adjacent to Residential Property)									X									X						X											
4	s	Underlying Assets of Sedona Hidden Valley, LP - Other than from Primary Trade or Business			See items 5-7 below for asset valuations and income amounts																																
5	s	Checking and Savings Accounts				X														X						X											
6	s	Unimproved Land Adjacent to Residential Properly, Sedona, AZ							X								X									X											
7	s	Guest House and Land Adjacent to Residential Property, Sedona, AZ									X						X									X											
8	s	Princess Medical Center. LLC, Peoria, AZ (Rental Medical Offices, Scottsdale, AZ)			X														X	X					Partner Distribution	i				R							Distribution = $4,000
9	s	Remainder Interest in Jeri's Trust Dated 06 21 2000			Value Unascertainable												X									X											htaml from d«im cf Maiguarta
10	s	Underlying Assets of Jeri's Trust Dated 06 21 2000			See Attachment B for securities held, asset valuations and income amounts																																
EXEMPTION TEST (see instructions before marking box): If you omitted any asset because it meets the three-part test for exemption described in the instructions, please check box to the right. This category applies only if the asset is/was held independently by the spouse or dependent child. If the asset is/was either held by the filer or jointly held, use the other categories of value, as appropriate.																																					
