008808© 5 5 4 3
Reporting Individual's Name McCain, John S. Ill				PART IIIB. NON-PUBLICLY TRADED ASSETS AND UNEARNED INCOME SOURCES																																Page Number 9	
BLOCK A Identity of Non-Publicly Traded Assets and Unearned Income Sources Report the name, address (city, state and description) of each interest held by you, your spouse, or your dependent child (See p.3, CONTENTS OF REPORTS Part B of Instructions) for the production of income or investment in a non-oublic trade or business which: (1)	had a value exceeding $1,000 at the close of the reporting period; and/or (2)	generated over $200 in "unearned" income during the reporting period. Include the above report for each underlying asset, which is not incidental to the trade or business. Publicly traded assets held by non-public entity may be listed on Part IIIA.					BLOCK B Valuation of Assets At the close of reporting period. If None, or less than $1.001, Check the first column.												BLOCKC Type and Amount of Income																				
																	Type of Income									Amount of Income											
					None (or less than $1,001)	$1,001 -$15,000	$15,001 -$50,000	$50,001 -$100,000	$100,001 -$250,000	$250,001 - $500,000	$500,001 -$1,000,000	Over $1,000,000***	$1,000,001 -$5,000,000	$5,000,001 - $25,000,000	$25,000,001 - $50,000,000	Over $50,000,000	None	Dividends	c <D ££	Interest	Capital Gains	Excepted Investment Fund	Excepted Trust	Qualified Blind Trust	Other (Specify Type)	None (or less than $201)	$201 -$1,000	$1,001 -$2,500	$2,501 -$5,000	$5,001 -$15,000	$15,001 -$50,000	$50,001 -$100,000	$100,001 -$1,000,000	* « * o o o o~ o o </> <D > o	$1,000,001 -$5,000,000	Over $5,000,000	Actual Amount Required if "Other" Specified
s, Example: DC, or J			JP Computer, Software Design, Wash DC					X										X							Example		X										Example
			Undeveloped land, Dubuque, Iowa						X								X								Example	X											Example
1	s	Hensley & Co., Common Stock tn S-Corp, Phoenix. AZ (Beverage Distribution)										X						X																X			
2	s	Underlying Assets of Henstey & Co. -Other than from Primary Trade or Business			See items 3-7 for asset valuations and income amounts																																
3	s	Marketable Securities			See Attachment D for securities held, asset valuations and income amounts																																
4	s	Fielder's Choice, LLC, Phoenix, AZ (Underlying Asset is AZPB, LP-Professiorval Baseball)									X						X									X											
5	s	701/801, LLC, Phoenix, AZ (Investing -Underlying Asset ts Parking Lot)									X														Orcttlfartrt Shit, of Ordnsry												$25,842
6	s	Estrella Medical Ptaza, LLC, Phoentx. AZ (Investment Property)					X													X	X					I			CG								Amount or Distribution S 16.928
7	s	Explorador Fund. LP, San Francisco. CA (Equity Investments)						X										X		X	X								l/D/ CG								
8	s	Wild Creek Enterprises, LLC (Family Investment LLC)			See items 9-10 & 1 on the following page 10 for asset valuations and income amounts																																
9	s	Estrella Medical Plaza, LLC. Phoenix, AZ (Investment Property)				X														X	X				Partner Distribution	I		CG									Amount ol OistriBution $28,430
10	s	Bank Capital Corp, Phoenix, AZ (Common Stock in Financial Institution)					X										X									X											
EXEMPTION TEST (see instructions before marking box): If you omitted any asset because it meets the three-part test for exemption described in the instructions, please check box to the right. I *** This category applies only if the asset is/was held independently by the spouse or dependent child. If the asset is/was either held by the filer or jointly held, use the other categories of value, as appropriate. |_																																					
