
Reporting Individual's Name McCain, John S. Ill					PART VII.		LIABILITIES											Page Number 16		
Report liabilities over $10,000 owed by you, your spouse, or dependent child (See p.3 CONTENTS OF REPORTS Part B of Instructions), to any one creditor at any time during the reporting period. Check the highest amount owed during the reporting period. Exclude: (1) Mortgages on your personal residences unless rented; (2) loans secured by automobiles, household furniture or appliances; and (3) liabilities owed to certain relatives listed in Instructions. See Instructions for reporting revolving charge accounts.							Date Incurred	Interest Rate	Term if Applicable	Category of Amount of Value (x)										
										$10,001 -$15,000	$15,001 -$50,000	$50,001 -$100,000	$100,001 -$250,000	$250,001 - $500,000	$500,001 -$1,000,000	Over $1,000,000***	$1,000,001 -$5,000,000	$5,000,001 - $25,000,000	$25,000,001 -$50,000,000	Over $50,000,000
Name of Creditor				Address		Type of Liability														
s, Example: DC, or J			First District Bank	Wash., DC		Mortgage on undeveloped land	1992	13%	25yrs			X		E	X	A	M	P	L	E
			(J) John Jones	Wash., DC		Promissory Note	2000	10%	On dmd		•		X	E	X	A	M	P	L	E
1	s	JPMorgan Chase Bank NA		Phoenix, AZ		Cindy McCain - Personal Line of Credit (Refinanced 5/2011)	2009	Libor Plus 2.55%	Paid 2011					X						
2	s	JPMorgan Chase Bank NA		Phoenix, AZ		Cindy McCain - Promissory Note (Refinanced 5/2011)	2003	Libor Plus 2.55%	Paid 2011					X						
3	s	American Express		Los Angeles, CA		Cindy McCain - Charge Card	2011	0.00%	N/A				X							
4	s	American Express		Los Angeles, CA		Cindy McCain - Charge Card	2011	0.00%	N/A			X								
5	s	Hensley & Company		Phoenix, AZ		Cindy McCain - Promissory Note (Refinanced 12/2011}	2011	ST APR 0.56%	Paid 2011							K				
6	s	Hensley & Company		Phoenix, AZ		Cindy McCain - Promissory Note (Refinanced 12/2011)	2010	ST AFR 0.41%	Paid 2011			X								
7	s	Hensley S Company		Phoenix, AZ		Cindy McCain - Promissory Note (Refinanced 12/2011)	2010	ST AFR 0.35%	Paid 2011			X								
8	s	Hensley A Company		Phoenix. AZ		Cindy McCain - Promissory Note (Refinanced 12/2011)	2010	ST AFR 0.32%	Paid 2011				X							
9	s	Hensley & Company		Phoenix, AZ		Cindy McCain - Promissory Note	2011	ST AFR 0.43%	Paid 2011			X								
10	s	Hensley & Company		Phoenix, AZ		Cindy McCain - Promissory Note	2011	ST AFR 0.51%	Paid 2011				X							
11	s	Hensley & Company		Phoenix, AZ		Cindy McCain - Promissory Note	2011	ST AFR 0.54%	Paid 2011			X								
12	s	Hensley & Company		Phoenix. AZ		Cindy McCain - Promissory Note	2011	ST AFR 0.54%	Paid 2011		K									
EXEMPTION TEST (see instructions before marking box): If you omitted any asset because it meets the three-part test for exemption described in the instructions, please check box to the right. *** This category applies only if the asset is/was held independently by the spouse or dependent child. If the asset is/was either held by the filer or jointly held, use the other categories of value, as appropriate.																				
