Reporting
DAVID H. DEWHURST
PART IX. AGREEMENTS OR ARRANGEMENTS
17
Report your agreements or arrangements for future employment (including agreements with a publisher for writing a book or-sale of other intellectual property), leaves of absence, continuation of payment by a former employer (including severance payments), or continuing participation in an employee benefit plan. See Instructions regarding the reporting of negotiations for any of these arrangements or benefits.
Status and Terms of any Agreement or Arrangement			Parties	Date
Example:		Pursuant to partnership agreement, will receive lump sum payment of capital account & partnership share calculated on services performed through 11/0X and retained pension benefits (diversified, independently managed, fully funded, defined contribution plan)	Jones & Smith, Hometown, USA EXAMPLE	1/94
		Employment agreement with XYZ Co. to become Vice President of Government Relations. Terms of agreement include salary between $50,001-$100,000, signing bonus between $2,501-$5,000 and stock options	XYZ Co., Bethesda, MD EXAMPLE	1/1X
1	Employees Retirement Systems of Texas - Employee Pension Plan		David Dewhurst	01/99
2	(Amount & timing of payment in line 1 depends on length of service and salary at time of retirement as state employee)			
3				
4				
5				
6				
7				
8				
9				
10				
11				
12				
13				
14				
