Charter Graham
Historical Performance (continued)
Month
Jun-98 Jul-98 Aug-98 Sep-98 Oct-98 Nov-98 Dec-98 Jan-99 Feb-99 Mar-99 Apr-99 May-99 Jun-99 Jul-99 Aug-99 Sep-99 Oct-99 Nov-99 Dec-99 Jan-00 Feb-00 Mar-00 Apr-00 May-00 Jun-00 Jul-00 Aug-00 Sep-00 Oct-OO Nov-00 Dec-00 Jan-01 Feb-01 Mar-01 Apr-01 May-01 Jun-01 Jul-01 Aug-01 Sep-01 Oct-01 Nov-01 Dec-01 Jan-02 Feb-02 Mar-02 Apr-02 May-02 Jun-02 Jul-02 Aug-02 Sep-02 0ct-02 Nov-02 Dec-02 Jan-03 Feb-03 Mar-03 Apr-03 May-03 Jun-03
Monthly Return %	NAV/Unit $	Qrtly Return %	Annual Return %	12 Mo. Holding Period %	24 Mo. Holding Period %
(0.81)	14.10	(0.41)		17.92	39.60
(4.53)	13.46			(2.24)	25.77
15.33	15.52			16.48	48.74
1.62	15.78	11.89		13.26	44.12
1.57	16.02			20.58	34.45
(5.12)	15.20			7.11	18.62
2.44	15.57	(1.28)	5.07	5.07	32.62
(5.38)	14.74			1.08	14.04
1.34	14.93			4.76	8.93
(3.27)	14.45	(7.25)		2.04	14.60
2.78	14.85			11.45	25.15
(4.36)	14.20			(0.10)	19.27
0.54	14.28	(1.17)		1.26	19.41
(0.47)	14.21			5.56	3.19
5.00	14.92			(3.89)	11.95
0.14	14.94	4.66		(5.29	7.27
(9.69)	13.49			(15.79	1.54
2.39	13.82			(9.12)	(2.66)
2.35	14.14	(5.36)	(9.21)	(9.21)	(4.60)
(0.681	14.04			(4.69)	3.66
(0.66)	13.95			(6.58)	(2.13)
4.72	14.61	3.33		1.14	3.20
2.15	14.92			0.52	12.03
2.34	15.27			7.56	7.45
(4.32)	14.61	0.03		2.37	3.65
(7.75)	13.48			(5.12)	0.16
3.32	13.93			6.64	(10.28)
(1.33)	13.74	(5.96)		(8.02)	(12.89)
1.29	13.92			3.16	(13.13)
4.31	14.52			5.10	(4.49)
20.52	17.50	27.34	23.77	23.77	12.37
(4.29)	16.75			19.27	13.67
0.42	16.82			20.56	12.63
7.07	18.01	2.91		23.27	24.68
(7.72)	16.62			11.36	11.94
5.96	17.61			15.30	24.01
(2.10)	17.24	(4.28)		17.97	20.76
(0.93)	17.08			26.69	20.21
4.68	17.88			28.37	19.84
(1.29)	17.65	2.38		28.43	18.13
7.54	18.98			36.36	40.67
(7.80)	17.50			20.52	26.67
(3.31)	16.92	(4.14)	(3.31)	(3.31)	19.66
1.65	17.20			2.69	22.47
(2.27)	16.81			(0.06)	20.49
(0.06)	16.80	(0.71)		(6.72)	14.99
1.07	16.98			2.17	13.77
6.71	18.12			2.90	18.64
11.37	20.18	20.12		17.05	38.09
3.77	20.94			22.60	55.33
3.39	21.65			21.09	55.44
3.19	22.34	10.70		26.57	62.56
(8.59)	20.42			7.59	46.70
0.64	20.55			17.43	41.53
6.28	21.84	(2.24)	29.08	29.08	24.80
12.73	24.62			43.14	46.99
11.70	27.50			63.59	63.50
(9.78)	24.81	13.60		47.68	37.76
2.98	25.55			50.47	53.73
3.48	26.44			45.92	50.14
(12.78)	23.06	(7.05)		14.27	33.76
PAST PERFORMANCE IS NOT NECESSARILY INDICATIVE OF FUTURE RESULTS.
173
