Reporting Individual's Name PaS® Number Daniel r Liljenquist PART X- COMPENSATION IN EXCESS OF $5,000 PAID BY ONE SOURCE g				
FIRST TIME FILERS ONLY: Report sources of compensation received by you or your business affiliation for services provided directly by you during the reporting period. This includes the names of clients and customers of any corporation, firm, partnership, or other business enterprise, or .any non-profit organization when you directly provided the services to the clients and/or customers of the firm that generated a fee or payment of more than $5,000. You need not report the U.S. Government as a source.				
Name of Source			Address of Source	Brief Description of Duties
Example:		Jones & Smith	Hometown, TX	Legal Services EXAMPLE
		Metro University (client of Jones & Smith	Moneytown, USA	Legal Services in connection with university construction EXA M P L E
1	Laura & John Arnold Foundation		Houston, Texas	Consulting services
2	State of Utah		Salt Lake City, Utah	State Senator
3	Qwest Communications, Inc.		Denver, Colorado	Call center services through Focus Services, LLC
4	Moulton Logistics, Inc.		Van Nuys, California	Call center services through Focus Services, LLC
5	Saveology, Inc.		Fort Lauderdale, Florida	Call center services through Focus Services, LLC
6	Focus Services, LLC B		Roy, Utah q	Executive management services q
7				
8				
9				
10				
11				
12				
13				
14				
15				
