Reporting Individual s Name ~ ~ ^ DANIEL RAY COATS			PART IIIB. NON-PUBLICLY TRADED ASSETS AND UNEARNED INCOME SOURCES																																Page Number 7	
BLOCK A Identity of Non-Publicly Traded Assets and Unearned Income Sources Report the name, address (city, state and description) of each interest held by you, your spouse, or your dependent child (See p.3, CONTENTS OF REPORTS Part B of Instructions) for the production of income or investment in a non-Dublic trade or business which: (1)	had a value exceeding $1,000 at the close of the reporting period; and/or (2)	generated over $200 in "unearned" income during the reporting period. Include the above report for each underlying asset, which is not incidental to the trade or business. Publicly traded assets held by non-public entity may be listed on Part IIIA.				BLOCK B Valuation of Assets At the close of reporting period. If None, or less than $1,001, Check the first column.												BLOCK C Type and Amount of Income If "None (or less than $201)" is Checked, no other entry is needed in Block C for that item. This includes income received or accrued to the benefit of the individual.																				
																Type of Income									Amount of Income											
				None (or less than $1,001)	$1,001 -$15,000	$15,001 -$50,000	$50,001 -$100,000	$100,001 -$250,000	$250,001 -$500,000	$500,001 -$1,000,000	« « * o o o o" o o in L_ <D > o	$1,000,001 -$5,000,000	$5,000,001 -$25,000,000	$25,000,001 - $50,000,000	Over $50,000,000	None	Dividends	c <D cn	Interest	Capital Gains	Excepted Investment Fund	Excepted Trust	Qualified Blind Trust	Other (Specify Type)	None (or less than $201)	$201 -$1,000	$1,001 -$2,500	$2,501 -$5,000	$5,001 -$15,000	$15,001-$50,000	$50,001 -$100,000	$100,001 -$1,000,000	Over $1,000,000*"	$1,000,001 -$5,000,000	Over $5,000,000	Actual Amount Required if "Other" Specified
s, Example: DC, or J		JP Computer, Software Design, Wash DC					X										X							Example		X										Example
		Undeveloped land, Dubuque, Iowa						X																Example	X											Example
1	(S) INDIANOLA MANAGEMENT LLC (REAL ESTATE) UNDEVELOPED LAND, LAS VEGAS, NV							X								X									X											i
2	(J) HEALTHCARE EQUITY PARTNERS, LP, CHICAGO, IL				X											X									X								>	u r c -7	i i » »	
3	SOUTHEAST LANDCO ACQ FD {REAL ESTATE); UNDEVELOPED LAND, ATLANTA, GA							X								X									X							5j		-or czz c?1	I A Jm	
4	(S) SOUTHEAST LANDCO ACQ FD (REAL ESTATE); UNDEVELOPED LAND, ATLANTA, GA							X								X									X							X		porn	O ry_J	
5	NANOINK (STOCK OPTIONS) SKOKIE, IL 60077					X										X									X								o s	o! O: 7JJf	zrn no n	
6	ALLISON TRANSMISSION (STOCK OPTIONS) INDIANAPOLIS, IN 46222						X									X									X							<	o	H* ' 1	H	
7	RADIO PARADISO (RADIO STATION) BERLIN, GERMANY				X											X									X											
8	MARK AND LAURA RUSSO (MORTGAGE RECEIVABLE) MCLEAN, VA								X										X										X							
9	EDWARD AND LISA WOLF (MORTGAGE RECEIVABLE) BEDFORD, NH								X										X										X							
10	ANDREW COATS (MORTGAGE RECIEVABLE) INDIANAPOLIS, IN					X													X								X									
EXEMPTION TEST fsee instructions before marking box): If you omitted any asset because it meets the three-part test for exemption described in the instructions, please check box to the right. j "* This category applies only if the asset is/was held independently by the spouse or dependent child. If the asset is/was either held by the filer or jointly held, use the other categories of value, as appropriate. _j																																				
